"Customweb_BarclaycardCw::* Required Fields","* Required Fields"
"Customweb_BarclaycardCw::-- No Status Change --","-- No Status Change --"
"Customweb_BarclaycardCw::3D Secure","3D Secure"
"Customweb_BarclaycardCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_BarclaycardCw::3D Secure failed","3D Secure mislukt"
"Customweb_BarclaycardCw::3D Secure sucess","3D Secure succes"
"Customweb_BarclaycardCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">De verwachte formaat is '!format' waar de 'MM' is de maand nummer en 'YY' het jaartal.</span>"
"Customweb_BarclaycardCw::A authorized transaction cannot be authorized again.","Een geautoriseerde transactie kan niet worden weer geautoriseerd."
"Customweb_BarclaycardCw::A authorized transaction cannot be marked as failed.","Een geautoriseerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_BarclaycardCw::A cancelled transaction cannot be authorized.","Een geannuleerde transactie kan niet worden geautoriseerd."
"Customweb_BarclaycardCw::A cancelled transaction cannot be cancelled again.","Een geannuleerde transactie kan niet worden weer geannuleerd."
"Customweb_BarclaycardCw::A cancelled transaction cannot be captured.","Een geannuleerde transactie kan niet worden weer opgenomen."
"Customweb_BarclaycardCw::A cancelled transaction cannot be marked as failed.","Een geannuleerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_BarclaycardCw::A cancelled transaction cannot be refunded.","Een geannuleerde transactie kan niet worden bijgeschreven."
"Customweb_BarclaycardCw::A captured transaction cannot be authorized.","Een opgenomen transactie kan niet worden geautoriseerd."
"Customweb_BarclaycardCw::A captured transaction cannot be cancelled.","Een opgenomen transactie kan niet worden geannuleerd."
"Customweb_BarclaycardCw::A captured transaction cannot be marked as failed.","Een opgenomen transactie kan niet worden gemarkeerd als mislukt."
"Customweb_BarclaycardCw::A failed authorization cannot be authorized.","Een mislukte autorisatie kan niet worden geautoriseerd."
"Customweb_BarclaycardCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Sommige betaalmethoden zijn niet beschikbaar voor bepaalde landen. U kunt de tijd waarop de beschikbaarheid cheque te voeren taken. Wij adviseren om op 'Tijdens de autorisatie'."
"Customweb_BarclaycardCw::A refund was added over !amount.","Een terugbetaling van !amount werd toegevoegd."
"Customweb_BarclaycardCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Een transactie kan onveilig zijn als de betaling niet is gegarandeerd. Bijvoorbeeld, als de credit card niet tot het 3D Secure proces."
"Customweb_BarclaycardCw::A typical pattern of a fraud transaction is a series of refused transaction before one of them is accepted. This setting defines the threshold after any following transaction is marked as uncertain. E.g. a threshold of three will mark any successful transaction after three refused transaction as uncertain.","Een typisch patroon van een transactie fraude een aantal geweigerde transactie alvorens een van hen wordt aanvaard. Deze instelling bepaalt de drempel na elke volgende transactie wordt gemarkeerd als onzeker. Bijv. een drempel van drie zal elke succesvolle transactie markeren na drie weigerden transactie als onzeker."
"Customweb_BarclaycardCw::API Password","API Wachtwoord"
"Customweb_BarclaycardCw::API Username","API Gebruikersnaam"
"Customweb_BarclaycardCw::About","About"
"Customweb_BarclaycardCw::Acceptance","Aanvaarding"
"Customweb_BarclaycardCw::Account Holder Name","Naam rekeninghouder"
"Customweb_BarclaycardCw::Account owner name.","Rekeninghouder naam"
"Customweb_BarclaycardCw::Action","Actie"
"Customweb_BarclaycardCw::Actions","Actions"
"Customweb_BarclaycardCw::Activate","Activate"
"Customweb_BarclaycardCw::Active","Actief"
"Customweb_BarclaycardCw::Add new","Add new"
"Customweb_BarclaycardCw::Additional Information","Additional Information"
"Customweb_BarclaycardCw::Adjust Qty","Pas de hoeveelheid"
"Customweb_BarclaycardCw::Adjustment Discount","Adjustment Discount"
"Customweb_BarclaycardCw::Adjustment Fee","Adjustment Fee"
"Customweb_BarclaycardCw::After payment selection","Na het selecteren van de betaalmethode"
"Customweb_BarclaycardCw::AfterPay","AfterPay"
"Customweb_BarclaycardCw::Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Customweb_BarclaycardCw::Alias","Alias"
"Customweb_BarclaycardCw::Alias For Display","Alias ​​voor Beeldscherm"
"Customweb_BarclaycardCw::Alias Gateway","Alias Gateway"
"Customweb_BarclaycardCw::Alias Manager","Alias Manager"
"Customweb_BarclaycardCw::Alias Token","Alias Token"
"Customweb_BarclaycardCw::Alias manager","Alias manager"
"Customweb_BarclaycardCw::All Customers","All Customers"
"Customweb_BarclaycardCw::All country codes must match.","Alle land-codes moeten overeenkomen."
"Customweb_BarclaycardCw::Allowed Currencies","Allowed Currencies"
"Customweb_BarclaycardCw::Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Customweb_BarclaycardCw::Already registered?","Already registered?"
"Customweb_BarclaycardCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_BarclaycardCw::American Express","American Express"
"Customweb_BarclaycardCw::Amount","Bedrag"
"Customweb_BarclaycardCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_BarclaycardCw::An expiry month must be selected.","Een vervaldatum maand moet worden gekozen."
"Customweb_BarclaycardCw::An expiry year must be selected.","Een vervaldatum jaar moet worden gekozen."
"Customweb_BarclaycardCw::Are you a German merchant?","Bent u een Duitse koopman?"
"Customweb_BarclaycardCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_BarclaycardCw::Austria (AT)","Oostenrijk (AT)"
"Customweb_BarclaycardCw::Author","Author"
"Customweb_BarclaycardCw::Authorization Amount","Autorisatie bedrag"
"Customweb_BarclaycardCw::Authorization Failed","Autorisatie mislukt"
"Customweb_BarclaycardCw::Authorization Method","Autorisatie Methode"
"Customweb_BarclaycardCw::Authorization is uncertain.","Autorisatie is onzeker"
"Customweb_BarclaycardCw::Authorization refused","Authorization refused"
"Customweb_BarclaycardCw::Authorized Status","Authorized Status"
"Customweb_BarclaycardCw::Await Notification","Await Notification"
"Customweb_BarclaycardCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_BarclaycardCw::BIC","BIC"
"Customweb_BarclaycardCw::Background Color","Background Color"
"Customweb_BarclaycardCw::Bad signature format.","Bad signature format."
"Customweb_BarclaycardCw::Bank Location","Bank Locatie"
"Customweb_BarclaycardCw::Bank Name","Bank Naam"
"Customweb_BarclaycardCw::Bank account number","Bankrekeningnummer"
"Customweb_BarclaycardCw::Bank code number","Bankcode"
"Customweb_BarclaycardCw::Before payment selection","Vóór het selecteren van de betaalmethode"
"Customweb_BarclaycardCw::Belgium (BE)","België (BE)"
"Customweb_BarclaycardCw::BillPay","BillPay"
"Customweb_BarclaycardCw::Billing Address","Billing Address"
"Customweb_BarclaycardCw::Billing Information","Billing Information"
"Customweb_BarclaycardCw::Billing address","Factuuradres"
"Customweb_BarclaycardCw::Billpay","Billpay"
"Customweb_BarclaycardCw::Brand","Brand"
"Customweb_BarclaycardCw::Brand Country","Brand Country"
"Customweb_BarclaycardCw::Brand Name","Brand Name"
"Customweb_BarclaycardCw::Brand and card number do not match.","Kaarttype en kaartnummer niet overeenkomen."
"Customweb_BarclaycardCw::Button Background Color","Button Background Color"
"Customweb_BarclaycardCw::Button Text Color","Button Text Color"
"Customweb_BarclaycardCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_BarclaycardCw::CVC Code","CVC Code"
"Customweb_BarclaycardCw::Cancel","Cancel"
"Customweb_BarclaycardCw::Cancel ID","Cancel ID"
"Customweb_BarclaycardCw::Cancel pending orders when out of stock","Lopende orders te annuleren als het item is niet langer op voorraad."
"Customweb_BarclaycardCw::Cancel status","Cancel status"
"Customweb_BarclaycardCw::Canceled BarclaycardCw","Canceled BarclaycardCw"
"Customweb_BarclaycardCw::Canceling of this payment not possible!","Deze betaling kan niet worden geannuleerd!"
"Customweb_BarclaycardCw::Cancelled Status","Cancelled Status"
"Customweb_BarclaycardCw::Cannot update item quantity.","Kan product hoeveelheid niet bijwerken."
"Customweb_BarclaycardCw::Capture (Don't Close)","Capture (Don't Close)"
"Customweb_BarclaycardCw::Capture Amount","Capture Amount"
"Customweb_BarclaycardCw::Capture ID","Capture ID"
"Customweb_BarclaycardCw::Capture amount","Capture bedrag"
"Customweb_BarclaycardCw::Capture information","Boekingsinformatie"
"Customweb_BarclaycardCw::Capture status","Capture status"
"Customweb_BarclaycardCw::Capture: Don't Close","Capture: Don't Close"
"Customweb_BarclaycardCw::Captured Amount","Opgenomen bedrag"
