"Customweb_BarclaycardCw::* Required Fields","* Required Fields"
"Customweb_BarclaycardCw::-- No Status Change --","-- No Status Change --"
"Customweb_BarclaycardCw::3D Secure","3D Secure"
"Customweb_BarclaycardCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_BarclaycardCw::3D Secure failed","3D Secure verification failed"
"Customweb_BarclaycardCw::3D Secure sucess","3D Secure successfull"
"Customweb_BarclaycardCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month in two digits and 'YY' the year in two digits.</span>"
"Customweb_BarclaycardCw::A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"Customweb_BarclaycardCw::A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"Customweb_BarclaycardCw::A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"Customweb_BarclaycardCw::A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"Customweb_BarclaycardCw::A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"Customweb_BarclaycardCw::A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"Customweb_BarclaycardCw::A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"Customweb_BarclaycardCw::A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"Customweb_BarclaycardCw::A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"Customweb_BarclaycardCw::A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"Customweb_BarclaycardCw::A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"Customweb_BarclaycardCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"Customweb_BarclaycardCw::A refund was added over !amount.","A refund was added over !amount."
"Customweb_BarclaycardCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"Customweb_BarclaycardCw::A typical pattern of a fraud transaction is a series of refused transaction before one of them is accepted. This setting defines the threshold after any following transaction is marked as uncertain. E.g. a threshold of three will mark any successful transaction after three refused transaction as uncertain.","A typical pattern of a fraud transaction is a series of refused transaction before one of them is accepted. This setting defines the threshold after which any following transaction is marked as uncertain. E.g. a threshold of three will mark any successful transaction of this customer after three refused transaction as uncertain."
"Customweb_BarclaycardCw::API Password","API Password"
"Customweb_BarclaycardCw::API Username","API Username"
"Customweb_BarclaycardCw::About","About"
"Customweb_BarclaycardCw::Acceptance","Acceptance"
"Customweb_BarclaycardCw::Account Holder Name","Account holder"
"Customweb_BarclaycardCw::Account owner name.","Account holder"
"Customweb_BarclaycardCw::Action","Action"
"Customweb_BarclaycardCw::Actions","Actions"
"Customweb_BarclaycardCw::Activate","Active"
"Customweb_BarclaycardCw::Active","Active"
"Customweb_BarclaycardCw::Add new","Add new"
"Customweb_BarclaycardCw::Additional Information","Additional Information"
"Customweb_BarclaycardCw::Adjust Qty","Adjust Quantity"
"Customweb_BarclaycardCw::Adjustment Discount","Adjustment Discount"
"Customweb_BarclaycardCw::Adjustment Fee","Adjustment Fee"
"Customweb_BarclaycardCw::After payment selection","After payment method selection"
"Customweb_BarclaycardCw::AfterPay","AfterPay"
"Customweb_BarclaycardCw::Ajax authorization not supported.","Ajax authorization not supported"
"Customweb_BarclaycardCw::Alias","Alias"
"Customweb_BarclaycardCw::Alias For Display","Alias For Display"
"Customweb_BarclaycardCw::Alias Gateway","Alias Gateway"
"Customweb_BarclaycardCw::Alias Manager","Alias Manager"
"Customweb_BarclaycardCw::Alias Token","Alias Token"
"Customweb_BarclaycardCw::Alias manager","One-Click Checkout (Alias Manager)"
"Customweb_BarclaycardCw::All Customers","All Customers"
"Customweb_BarclaycardCw::All country codes must match.","All country codes must match."
"Customweb_BarclaycardCw::Allowed Currencies","Allowed currencies"
"Customweb_BarclaycardCw::Allowed currencies for this payment method","Permitted currencies for this payment method"
"Customweb_BarclaycardCw::Already registered?","Already registered?"
"Customweb_BarclaycardCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_BarclaycardCw::American Express","American Express"
"Customweb_BarclaycardCw::Amount","Amount"
"Customweb_BarclaycardCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_BarclaycardCw::An expiry month must be selected.","An expiry month must be selected."
"Customweb_BarclaycardCw::An expiry year must be selected.","An expiry year must be selected"
"Customweb_BarclaycardCw::Are you a German merchant?","Are you a German merchant?"
"Customweb_BarclaycardCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_BarclaycardCw::Austria (AT)","Austria"
"Customweb_BarclaycardCw::Author","Author"
"Customweb_BarclaycardCw::Authorization Amount","Authorisation Amount"
"Customweb_BarclaycardCw::Authorization Failed","Authorisation failed"
"Customweb_BarclaycardCw::Authorization Method","Authorisation Method"
"Customweb_BarclaycardCw::Authorization is uncertain.","Authorisation is uncertain"
"Customweb_BarclaycardCw::Authorization refused","Authorization refused"
"Customweb_BarclaycardCw::Authorized Status","Authorised status"
"Customweb_BarclaycardCw::Await Notification","Await Notification"
"Customweb_BarclaycardCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_BarclaycardCw::BIC","BIC"
"Customweb_BarclaycardCw::Background Color","Background Color"
"Customweb_BarclaycardCw::Bad signature format.","False signature format."
"Customweb_BarclaycardCw::Bank Location","Bank Location"
"Customweb_BarclaycardCw::Bank Name","Bank Name"
"Customweb_BarclaycardCw::Bank account number","Bank account number (IBAN)"
"Customweb_BarclaycardCw::Bank code number","Bank code number"
"Customweb_BarclaycardCw::Before payment selection","Before selection of the payment method"
"Customweb_BarclaycardCw::Belgium (BE)","Belgium"
"Customweb_BarclaycardCw::BillPay","BillPay"
"Customweb_BarclaycardCw::Billing Address","Billing Address"
"Customweb_BarclaycardCw::Billing Information","Billing information"
"Customweb_BarclaycardCw::Billing address","Billing address"
"Customweb_BarclaycardCw::Billpay","BillPay"
"Customweb_BarclaycardCw::Brand","Brand"
"Customweb_BarclaycardCw::Brand Country","Country code of card"
"Customweb_BarclaycardCw::Brand Name","Brand Name"
"Customweb_BarclaycardCw::Brand and card number do not match.","Brand and card number do not match."
"Customweb_BarclaycardCw::Button Background Color","Button Background Color"
"Customweb_BarclaycardCw::Button Text Color","Button Text Color"
"Customweb_BarclaycardCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"Customweb_BarclaycardCw::CVC Code","CVC Code"
"Customweb_BarclaycardCw::Cancel","Cancel"
"Customweb_BarclaycardCw::Cancel ID","Cancel ID"
"Customweb_BarclaycardCw::Cancel pending orders when out of stock","Cancel pending orders when out of stock"
"Customweb_BarclaycardCw::Cancel status","Cancel status"
"Customweb_BarclaycardCw::Canceled BarclaycardCw","Canceled BarclaycardCw"
"Customweb_BarclaycardCw::Canceling of this payment not possible!","Cancellation of this payment not possible!"
"Customweb_BarclaycardCw::Cancelled Status","Cancelled status"
"Customweb_BarclaycardCw::Cannot update item quantity.","Cannot update item quantity."
"Customweb_BarclaycardCw::Capture Amount","Amount to capture"
"Customweb_BarclaycardCw::Capture ID","Capture ID"
"Customweb_BarclaycardCw::Capture amount","Capture amount"
"Customweb_BarclaycardCw::Capture information","Capture information"
"Customweb_BarclaycardCw::Capture status","Capture status"
"Customweb_BarclaycardCw::Capture: Don't Close","Capture: Don't close"
"Customweb_BarclaycardCw::Captured Amount","Captured amount"
"Customweb_BarclaycardCw::Captured Status","Captured status"
"Customweb_BarclaycardCw::Captures","Captures"
"Customweb_BarclaycardCw::Captures & Refunds","Captures & Refunds"
"Customweb_BarclaycardCw::Capturing","Capturing"
"Customweb_BarclaycardCw::Card Expiration","Expiry Date"
"Customweb_BarclaycardCw::Card Expiry Date","Card expiry date"
"Customweb_BarclaycardCw::Card Holder Name","Card holder name"
"Customweb_BarclaycardCw::Card IP address country does not match with the billing country.","Card IP address country does not match with the billing country."
"Customweb_BarclaycardCw::Card Number","Card number"
"Customweb_BarclaycardCw::Card issue country was on the black list and hence the transaction is marked as uncertain.","Card issue country was on the black list and hence the transaction is marked as uncertain."
"Customweb_BarclaycardCw::Card issue country was on the white list and hence the transaction is marked as uncertain.","Card issue country was on the white list and hence the transaction is marked as uncertain."
